Dias,GeracaoDados,Insercao,Busca,TempoTotal,TotalDados,UsoDisco(MB)
1,10.33439733007981,30.857961896930647,4.3601648149997345,45.55252404201019,1440000,150.0
2,20.841796120104846,63.28749405490089,8.574269726996135,92.70355990200187,2880000,111.0
3,31.44857003823563,95.5832194507384,12.66197549700155,139.69376498597558,4320000,174.0
4,42.011520925108925,127.98211216762138,16.884764018002898,186.8783971107332,5760000,231.0
5,52.66655653411726,160.77799233070255,21.384628936997615,234.82917780181742,7200000,290.0
6,63.28214280519751,193.38705319989094,25.561917487000756,282.2311134920892,8640000,452.0
7,74.02189003207604,226.43797478775377,29.670732889004285,330.1305977088341,10080000,416.0
8,84.64912971712329,259.1547746477663,34.13516345599783,377.93906782088743,11520000,487.0
9,95.3016052130697,291.58886427999096,38.192920936999144,425.0833904300598,12960000,548.0
10,105.90820843696565,324.1199674931413,43.63105470100709,473.65923063111404,14400000,595.0
11,116.5855904858181,357.1335457788955,49.7548851840038,523.4740214487174,15840000,670.0
12,127.2774732348189,389.75976022003306,57.60270901799959,574.6399424728515,17280000,731.0
13,137.96129575167288,422.9673248020117,61.5800590200015,622.5086795736861,18720000,792.0
14,148.65166012178815,455.7403456228276,73.58089283100708,677.9728985756228,20160000,853.0
15,159.37552115197468,488.40993776085816,81.0889646229989,728.8744235358317,21600000,915.0
16,169.9888836659884,521.185287942084,92.18157855900063,783.355750167073,23040000,976.0
17,180.62068140495103,553.9437196509534,97.77015224299976,832.3345532989042,24480000,1037.0
18,191.42361277195596,586.5647107858094,112.99814783800684,890.9864713957722,25920000,1098.0
19,202.10433449104312,618.9599614938343,121.94302354699903,943.0073195318764,27360000,1160.0
20,212.8331773229511,651.9274057588045,128.82398497100075,993.5845680527564,28800000,1221.0
21,223.54451616200822,684.1872882486714,141.01076051600103,1048.7425649266806,30240000,1282.0
22,234.10532034888456,716.7143833158698,138.72365035200346,1089.5433540167578,31680000,1343.0
23,244.61603011167608,748.7847892907812,159.5151123830001,1152.9159317854574,33120000,1404.0
24,255.25426619949576,781.3658704799673,172.34098958300456,1208.9611262624676,34560000,1465.0
25,265.75707524734753,813.5600478909255,173.7351858119946,1253.0523089502676,36000000,1526.0
26,276.6078464913662,846.2509199320048,180.55171355899802,1303.410479982369,37440000,1588.0
27,287.2481125595077,878.8405169079779,192.26613256500423,1358.3547620324898,38880000,1649.0
28,297.83324846738105,910.7250253059683,203.16456053900038,1411.7228343123497,40320000,1710.0
29,308.45949734622263,943.2396920127139,214.18378483800188,1465.8829741969384,41760000,1771.0
30,319.2559570513258,975.7985373419069,214.31732894499874,1509.3718233382315,43200000,1833.0
31,329.8216881094413,1008.5226005180884,224.74357912199775,1563.0878677495275,44640000,1894.0
32,340.57808485939313,1041.3383654950667,238.668671833002,1620.5851221874618,46080000,1955.0
33,351.2297774895487,1074.4581837461592,246.2506116910008,1671.9385729267087,47520000,2017.0
34,361.79240161125927,1107.820576834274,253.4346589209963,1723.0476373665297,48960000,2078.0
35,372.3172722184754,1140.4951118371464,257.57622435800295,1770.3886084136248,50400000,2140.0
36,382.93238514949917,1173.320308989205,271.85630541599676,1828.1089995547009,51840000,2201.0
37,393.71283379549277,1206.0158116989624,277.46007929800544,1877.1887247924606,53280000,2262.0
38,404.4922342645805,1238.821995684084,287.78463421400375,1931.0988641626682,54720000,2323.0
39,415.16547458259447,1271.3282247041134,294.2152654429956,1980.7089647297034,56160000,2384.0
40,425.8348628115273,1304.2755494979574,309.1738996759959,2039.2843119854806,57600000,2445.0
41,436.5379421082398,1337.1831465291834,312.2914107129982,2086.0124993504214,59040000,2507.0
42,447.2430997742049,1370.2859574512186,316.8329654929985,2134.362022718422,60480000,2568.0
43,457.8903737172659,1403.3323109162084,328.3132516379992,2189.5359362714735,61920000,2629.0
44,468.5873633973679,1436.083974473353,333.8682426879968,2238.5395805587177,63360000,2691.0
45,479.2090866553772,1469.1592345802055,339.675408658004,2288.0437298935867,64800000,2752.0
46,489.89507436532585,1501.8506968491347,349.23339953100367,2340.979170745464,66240000,2813.0
47,500.6369451434948,1534.5924676070645,354.4960253839963,2389.7254381345556,67680000,2875.0
48,511.1854547874318,1566.4958749760117,355.1908343229952,2432.8721640864387,69120000,2937.0
49,521.8782209154015,1599.5087201460556,378.3102128850005,2499.6971539464575,70560000,3001.0
50,532.6265512832397,1632.5409022610984,388.9201660969993,2554.0876196413374,72000000,3063.0
51,543.360995068193,1665.5211907062549,390.3418086870006,2599.2239944614485,73440000,3126.0
52,554.1027029951874,1698.3871359552286,396.5208297210047,2649.0106686714207,74880000,3189.0
53,564.7564942812824,1731.9542677203935,409.1771582809961,2705.887920282672,76320000,3251.0
54,575.5697230134319,1764.7515596434023,414.1516536049967,2754.472936261831,77760000,3315.0
55,586.2697546543932,1797.532157147456,421.45806083299976,2805.259972634849,79200000,3377.0
56,596.9766894384084,1830.8208074424474,443.2863490719974,2871.083845952853,80640000,3440.0
57,607.6218942535706,1863.7368623387374,438.2673664269969,2909.626123019305,82080000,3502.0
58,618.3485211014413,1897.4412817345583,458.79873852900346,2974.588541365003,83520000,3565.0
59,629.0101304301716,1930.9854348608205,467.67722341899935,3027.6727887099914,84960000,3628.0
60,639.6255001650788,1963.4680108743341,523.6129423539969,3126.70645339341,86400000,3691.0
61,650.2691201972993,1999.849523591547,509.13573953299783,3159.254383321844,87840000,3753.0
62,660.8479114833826,2033.7603222184844,507.5164172289951,3202.124650930862,89280000,3816.0
63,671.5869311724746,2068.143388458586,526.3403100400028,3266.070629671063,90720000,3879.0
64,682.2105872454922,2104.157850674732,533.0703988140012,3319.4388367342253,92160000,3942.0
65,692.7784151341402,2139.1751834805036,564.0328652290045,3395.9864638436484,93600000,4005.0
66,703.4317771881251,2174.500012966164,567.9263764289935,3445.8581665832826,95040000,4068.0
67,714.1945338892037,2209.8252319523162,606.6349925400136,3530.6547583815336,96480000,4131.0
68,725.0506407705325,2244.7905075513263,646.4372717869992,3616.278420108858,97920000,4193.0
